plant	herbivore	parasitoid
HYB	CRAM012	0
GEU	PYRA003	0
TRI	PYRA021	0
TRI	PYRA021	0
TRI	GEOM034	0
HYB	CRAM012	0
GEU	PYRA003	0
TRI	PYRA021	0
KLE	TORT122	0
TRI	LYMA059	0
TRI	THYR010	0
TRI	PYRA021	0
TRI	LYMA059	0
GEU	PYRA003	0
GEU	PYRA003	0
KLE	TORT040	0
TRI	GEOM034	0
TRI	GEOM034	0
GEU	PYRA003	0
TRI	PYRA021	0
GEU	PYRA003	0
GEU	PYRA003	0
GEU	PYRA003	0
GEU	PYRA003	0
HYB	NOCT077	0
HYB	NOCT077	0
KLE	LYMA060	0
KLE	LYMA060	0
KLE	TORT131	0
KLE	TORT131	0
KLE	TORT131	0
KLE	TORT131	0
KLE	TORT131	0
TRI	TORT008	0
TRI	TORT034	0
TRI	TORT008	0
TRI	TORT008	0
KLE	TORT131	0
KLE	TORT044	0
KLE	TORT067	0
KLE	TORT067	0
KLE	TORT067	0
KLE	TORT067	0
KLE	TORT008	0
KLE	TORT022	0
TRI	TORT022	0
KLE	TORT022	0
KLE	TORT022	0
TRI	CRAM013	0
TRI	CRAM013	0
TRI	CRAM013	0
HYB	CRAM013	0
HYB	CRAM012	0
HYB	CRAM012	0
HYB	CRAM012	0
HYB	CRAM012	0
HYB	CRAM012	0
GEU	PYRA003	0
GEU	PYRA003	0
GEU	PYRA003	0
KLE	GEOM006	0
KLE	GEOM006	0
HYB	NOCT077	0
HYB	NOCT077	0
HYB	NOCT077	0
HYB	NOCT077	0
HYB	NOCT077	0
HYB	NOCT077	0
HYB	NOCT077	0
HYB	NOCT077	0
KLE	GEOM016	0
HYB	CRAM012	0
GEU	CHOR012	0
GEU	CHOR012	0
GEU	CHOR012	0
GEU	CHOR012	0
GEU	CHOR012	0
GEU	CHOR012	0
GEU	CHOR012	0
GEU	CHOR012	0
GEU	CHOR012	0
TRI	TORT034	0
TRI	TORT034	0
TRI	TORT034	0
TRI	TORT034	0
TRI	TORT034	0
KLE	TORT034	0
KLE	LYMA039	0
TRI	LYMA062	0
TRI	GEOM132	0
TRI	TORT167	0
KLE	HESP005	0
HYB	CRAM077	0
KLE	GEOM113	0
KLE	NOCT085	0
KLE	LYMA039	0
KLE	LYMA039	0
HEL	PYRA026	0
LEE	CRAM078	0
GEU	PYRA003	0
TRI	PYRA021	0
HYB	PYRA007	0
KLE	TORT008	0
KLE	LYMA060	0
KLE	LYMA060	0
KLE	LYMA060	0
TRI	TORT034	0
KLE	TORT120	0
TRI	TORT008	0
KLE	TORT008	0
KLE	TORT044	0
KLE	TORT067	0
KLE	TORT044	0
KLE	TORT131	0
GEU	PYRA003	0
GEU	HYBL003	0
TRI	THYR010	0
KLE	TORT071	0
HYB	NOCT077	0
HYB	NOCT077	0
HYB	NOCT077	0
HYB	NOCT077	0
HYB	NOCT077	0
TRI	NOCT081	0
TRI	GEOM034	0
TRI	CRAM013	0
TRI	CRAM013	0
TRI	CRAM013	0
TRI	CRAM013	0
TRI	CRAM013	0
HYB	CRAM012	0
HYB	CRAM012	0
HYB	CRAM012	0
HYB	CRAM012	0
KLE	TORT008	0
TRI	TORT008	0
TRI	TORT040	0
KLE	TORT131	0
GEU	PYRA013	0
GEU	PYRA013	0
GEU	CHOR012	0
GEU	CHOR012	0
GEU	CHOR012	0
GEU	CHOR012	0
KLE	TORT131	0
KLE	TORT131	0
KLE	TORT131	0
HYB	PYRA022	0
HYB	PYRA022	0
TRI	PYRA021	0
KLE	LIMA024	0
KLE	TORT034	0
KLE	NOTO004	0
KLE	LYMA060	0
GEU	PYRA003	0
TRI	THYR010	0
TRI	THYR010	0
HYB	CRAM012	0
HYB	CRAM012	0
HYB	CRAM012	0
HYB	CRAM012	0
TRI	CRAM013	0
TRI	CRAM013	0
TRI	CRAM013	0
TRI	CRAM013	0
TRI	CRAM013	0
TRI	CRAM013	0
LEE	CRAM037	0
BAR	PYRA027	0
HYB	CRAM012	0
HYB	CRAM012	0
HYB	CRAM012	0
HYB	CRAM012	0
HYB	CRAM012	0
HYB	CRAM012	0
HYB	CRAM012	0
HYB	CRAM012	0
HYB	CRAM012	0
HYB	CRAM012	0
HYB	CRAM012	0
HYB	CRAM012	0
HYB	CRAM012	0
HYB	CRAM012	0
HYB	CRAM012	0
HYB	CRAM012	0
HYB	CRAM012	0
HYB	CRAM012	0
HYB	CRAM012	0
HYB	CRAM013	0
HYB	CRAM013	0
GEU	PYRA003	0
GEU	PYRA003	0
GEU	PYRA003	0
GEU	PYRA003	0
GEU	PYRA003	0
GEU	PYRA003	0
GEU	PYRA003	0
GEU	PYRA003	0
GEU	PYRA003	0
GEU	PYRA003	0
GEU	PYRA003	0
GEU	PYRA003	0
GEU	PYRA003	0
GEU	PYRA003	0
GEU	PYRA003	0
GEU	PYRA003	0
HYB	NOCT077	0
HYB	NOCT077	0
HYB	NOCT077	0
KLE	GEOM006	0
GEU	CHOR012	0
GEU	CHOR012	0
GEU	CHOR012	0
GEU	CHOR012	0
GEU	CHOR012	0
GEU	CHOR012	0
GEU	CHOR012	0
GEU	CHOR012	0
GEU	CHOR012	0
GEU	CHOR012	0
GEU	CHOR012	0
GEU	CHOR012	0
GEU	CHOR012	0
GEU	CHOR012	0
GEU	CHOR012	0
GEU	CHOR012	0
GEU	CHOR012	0
GEU	CHOR012	0
GEU	CHOR012	0
GEU	CHOR012	0
GEU	CHOR012	0
GEU	CHOR012	0
GEU	CHOR012	0
GEU	CHOR012	0
GEU	CHOR012	0
GEU	CHOR012	0
GEU	CHOR012	0
GEU	CHOR012	0
GEU	CHOR012	0
GEU	CHOR012	0
GEU	CHOR012	0
GEU	CHOR012	0
GEU	CHOR012	0
GEU	HYBL003	0
GEU	HYBL001	0
GEU	HYBL001	0
KLE	GEOM006	0
TRI	CRAM013	0
TRI	CRAM013	0
TRI	CRAM013	0
GEU	PYRA003	0
GEU	PYRA003	0
GEU	PYRA003	0
GEU	PYRA003	0
GEU	PYRA003	0
GEU	PYRA003	0
GEU	PYRA003	0
GEU	PYRA003	0
GEU	PYRA003	0
GEU	PYRA003	0
GEU	PYRA003	0
GEU	PYRA003	0
GEU	PYRA003	0
GEU	PYRA003	0
GEU	PYRA003	0
GEU	PYRA003	0
GEU	PYRA003	0
GEU	PYRA003	0
GEU	PYRA003	0
GEU	PYRA021	0
GEU	PYRA021	0
GEU	PYRA021	0
TRI	PYRA013	0
GEU	CRAM034	0
GEU	CRAM034	0
TRI	THYR010	0
GEU	PYRA003	0
GEU	PYRA003	0
GEU	PYRA003	0
GEU	PYRA003	0
GEU	PYRA003	0
GEU	PYRA003	0
GEU	PYRA003	0
KLE	TORT131	0
KLE	TORT008	0
KLE	TORT008	0
GEU	GEOM006	0
HYB	NOCT077	0
HYB	NOCT077	0
HYB	NOCT077	0
HYB	NOCT077	0
GEU	CHOR012	0
KLE	NOTO004	0
KLE	LYMA060	0
KLE	LYMA060	0
KLE	LYMA060	0
KLE	LYMA060	0
KLE	LYMA060	0
KLE	LYMA060	0
KLE	LYMA060	0
KLE	LYMA060	0
KLE	LYMA060	0
TRI	THYR010	0
TRI	THYR010	0
TRI	THYR010	0
TRI	THYR010	0
TRI	THYR010	0
TRI	THYR010	0
TRI	THYR010	0
TRI	THYR010	0
TRI	GEOM132	0
TRI	GEOM132	0
TRI	GEOM132	0
TRI	GEOM132	0
TRI	GEOM132	0
TRI	GEOM132	0
TRI	GEOM132	0
TRI	GEOM132	0
GEU	PYRA003	0
GEU	PYRA003	0
GEU	PYRA003	0
GEU	PYRA003	0
GEU	PYRA003	0
GEU	PYRA003	0
HYB	CRAM077	0
HYB	CRAM077	0
HYB	CRAM012	0
TRI	CRAM076	0
KLE	LYMA060	0
TRI	LYMA059	0
TRI	LYMA059	0
TRI	GEOM034	0
TRI	GEOM034	0
GEU	HYBL003	0
TRI	CRAM076	0
KLE	NOTO004	0
TRI	CRAM013	0
TRI	CRAM013	0
TRI	CRAM013	0
TRI	CRAM013	0
TRI	CRAM013	0
TRI	CRAM013	0
TRI	CRAM013	0
TRI	CRAM013	0
LEE	CRAM078	0
LEE	CRAM078	0
LEE	CRAM078	0
LEE	CRAM078	0
LEE	CRAM078	0
LEE	CRAM078	0
LEE	CRAM078	0
LEE	CRAM078	0
LEE	CRAM092	0
LEE	CRAM078	0
LEE	CRAM078	0
LEE	CRAM078	0
LEE	CRAM092	0
LEE	CRAM092	0
LEE	CRAM078	0
LEE	CRAM078	0
LEE	CRAM078	0
LEE	CRAM078	0
LEE	CRAM078	0
LEE	CRAM078	0
LEE	CRAM078	0
LEE	CRAM078	0
LEE	CRAM078	0
LEE	CRAM078	0
LEE	CRAM078	0
LEE	CRAM078	0
LEE	CRAM078	0
LEE	CRAM078	0
LEE	CRAM078	0
LEE	CRAM078	0
LEE	CRAM078	0
LEE	CRAM078	0
LEE	CRAM078	0
LEE	CRAM078	0
LEE	CRAM078	0
LEE	CRAM078	0
LEE	CRAM078	0
LEE	CRAM078	0
LEE	CRAM078	0
LEE	CRAM078	0
LEE	CRAM078	0
LEE	CRAM078	0
LEE	CRAM078	0
LEE	CRAM078	0
LEE	CRAM078	0
LEE	CRAM078	0
LEE	CRAM078	0
LEE	CRAM078	0
LEE	CRAM078	0
LEE	CRAM078	0
LEE	CRAM078	0
LEE	CRAM092	0
LEE	CRAM078	0
LEE	CRAM078	0
LEE	CRAM078	0
LEE	CRAM078	0
LEE	CRAM078	0
LEE	CRAM078	0
LEE	CRAM078	0
LEE	CRAM078	0
LEE	CRAM078	0
LEE	CRAM078	0
LEE	CRAM078	0
LEE	CRAM078	0
LEE	CRAM078	0
LEE	CRAM078	0
LEE	CRAM078	0
LEE	CRAM078	0
LEE	CRAM078	0
LEE	CRAM078	0
LEE	CRAM078	0
LEE	CRAM078	0
LEE	CRAM078	0
LEE	CRAM078	0
LEE	CRAM078	0
LEE	CRAM078	0
LEE	CRAM078	0
LEE	CRAM078	0
LEE	CRAM078	0
LEE	CRAM078	0
LEE	CRAM078	0
LEE	CRAM078	0
LEE	CRAM078	0
LEE	CRAM078	0
LEE	CRAM078	0
LEE	CRAM078	0
LEE	CRAM078	0
LEE	CRAM078	0
LEE	CRAM078	0
LEE	CRAM078	0
LEE	CRAM078	0
LEE	CRAM078	0
LEE	CRAM078	0
LEE	CRAM078	0
LEE	CRAM078	0
LEE	CRAM078	0
LEE	CRAM078	0
LEE	CRAM078	0
LEE	CRAM078	0
LEE	CRAM078	0
LEE	CRAM078	0
LEE	CRAM078	0
LEE	CRAM078	0
LEE	CRAM078	0
LEE	CRAM078	0
LEE	CRAM078	0
LEE	CRAM078	0
LEE	CRAM078	0
LEE	CRAM078	0
LEE	CRAM078	0
LEE	CRAM078	0
LEE	CRAM078	0
TRI	THYR010	0
TRI	THYR010	0
HYB	CRAM013	0
LEE	CRAM078	0
LEE	CRAM078	0
LEE	CRAM078	0
LEE	CRAM078	0
LEE	CRAM078	0
LEE	CRAM078	0
LEE	CRAM078	0
LEE	CRAM078	0
LEE	CRAM078	0
LEE	CRAM078	0
LEE	CRAM078	0
HYB	CRAM012	0
HEL	PYRA026	0
HEL	PYRA026	0
HEL	PYRA026	0
HEL	PYRA026	0
HEL	PYRA026	0
HEL	PYRA026	0
HEL	PYRA026	0
HEL	TORT131	0
LEE	CRAM078	0
LEE	CRAM078	0
LEE	CRAM092	0
LEE	CRAM078	0
LEE	CRAM092	0
LEE	CRAM078	0
LEE	CRAM078	0
LEE	CRAM078	0
LEE	CRAM078	0
LEE	CRAM078	0
LEE	CRAM078	0
LEE	CRAM078	0
LEE	CRAM078	0
LEE	CRAM078	0
HEL	PYRA026	0
HEL	PYRA026	0
HEL	PYRA026	0
HEL	PYRA026	0
HEL	PYRA026	0
HEL	PYRA026	0
HEL	PYRA026	0
HEL	PYRA026	0
HEL	PYRA026	0
LEE	CRAM092	0
LEE	CRAM078	0
LEE	CRAM092	0
LEE	CRAM092	0
LEE	CRAM078	0
KLE	GEOM016	0
TRI	PYRA021	0
TRI	PYRA021	0
TRI	PYRA024	0
HYB	GEOM132	0
KLE	TORT040	0
KLE	TORT022	0
HYB	GEOM132	0
TRI	PYRA024	0
TRI	PYRA021	0
TRI	PYRA021	0
KLE	TORT008	0
KLE	GEOM016	0
KLE	TORT040	0
GEU	PYRA013	0
GEU	PYRA003	0
GEU	PYRA013	0
GEU	PYRA003	0
TRI	PYRA024	0
TRI	PYRA024	0
TRI	GEOM132	0
TRI	GEOM132	0
TRI	PYRA021	0
TRI	PYRA021	0
HYB	CRAM012	0
KLE	TORT040	0
KLE	GEOM015	0
GEU	CHOR012	0
GEU	PYRA003	0
GEU	PYRA003	0
TRI	CRAM013	0
KLE	GEOM015	0
GEU	CHOR012	0
TRI	PYRA024	0
TRI	PYRA024	0
TRI	TORT034	0
KLE	TORT008	0
KLE	TORT044	0
HYB	NOCT077	0
KLE	TORT040	0
KLE	TORT040	0
KLE	TORT040	0
KLE	TORT022	0
KLE	TORT040	0
KLE	TORT067	0
GEU	CHOR012	0
GEU	CHOR012	0
GEU	CHOR012	0
KLE	TORT008	0
GEU	CHOR012	0
GEU	CHOR012	0
TRI	PYRA024	0
HYB	CRAM077	0
KLE	LYMA060	0
KLE	LYMA060	0
HYB	CRAM077	0
HYB	CRAM077	0
HYB	CRAM034	0
KLE	TORT008	0
KLE	TORT008	0
KLE	TORT044	0
KLE	TORT008	0
KLE	TORT044	0
TRI	TORT008	0
KLE	TORT008	0
TRI	TORT008	0
KLE	TORT008	0
LEE	CRAM092	0
LEE	CRAM078	0
LEE	CRAM078	0
LEE	CRAM092	0
LEE	CRAM078	0
LEE	CRAM078	0
LEE	CRAM092	0
LEE	CRAM078	0
LEE	CRAM092	0
LEE	CRAM078	0
LEE	CRAM078	0
LEE	CRAM078	0
LEE	CRAM078	0
LEE	CRAM078	0
LEE	CRAM078	0
LEE	CRAM078	0
LEE	CRAM092	0
LEE	CRAM078	0
BAR	PYRA027	0
BAR	PYRA027	0
BAR	PYRA027	0
BAR	PYRA027	0
BAR	PYRA027	0
BAR	PYRA027	0
BAR	PYRA027	0
BAR	PYRA027	0
BAR	PYRA027	0
BAR	PYRA027	0
BAR	PYRA027	0
BAR	PYRA027	0
BAR	PYRA027	0
BAR	PYRA027	0
BAR	PYRA027	0
BAR	PYRA027	0
BAR	PYRA027	0
BAR	PYRA027	0
BAR	PYRA027	0
BAR	PYRA027	0
BAR	PYRA027	0
BAR	PYRA027	0
BAR	PYRA027	0
BAR	PYRA027	0
BAR	PYRA027	0
BAR	PYRA027	0
BAR	PYRA027	0
BAR	PYRA027	0
BAR	PYRA027	0
BAR	PYRA027	0
BAR	PYRA027	0
BAR	PYRA027	0
BAR	PYRA027	0
BAR	PYRA027	0
BAR	TORT008	0
HEL	PYRA026	0
LEE	TORT169	0
LEE	TORT120	0
HEL	PYRA026	0
HEL	PYRA026	0
HEL	PYRA026	0
HEL	PYRA026	0
HEL	PYRA026	0
HEL	PYRA026	0
HEL	PYRA026	0
HEL	PYRA026	0
HEL	PYRA026	0
HEL	PYRA026	0
BAR	TORT071	0
TRI	PYRA021	0
KLE	TORT022	0
KLE	LYMA060	0
GEU	PYRA013	0
GEU	CHOR012	0
TRI	PYRA021	0
GEU	PYRA013	0
KLE	LYMA060	0
GEU	CHOR012	0
GEU	CHOR012	0
HYB	CRAM077	0
TRI	PYRA021	0
KLE	TORT022	0
GEU	CHOR012	0
GEU	CHOR012	0
KLE	TORT044	0
LEE	CRAM078	0
LEE	CRAM078	0
LEE	CRAM078	0
LEE	CRAM078	0
LEE	CRAM078	0
LEE	CRAM078	0
LEE	CRAM078	0
LEE	CRAM078	0
LEE	CRAM078	0
LEE	CRAM092	0
LEE	CRAM078	0
LEE	CRAM078	0
LEE	CRAM078	0
LEE	CRAM078	0
LEE	CRAM078	0
LEE	CRAM078	0
LEE	CRAM078	0
LEE	CRAM092	0
LEE	CRAM078	0
LEE	CRAM092	0
LEE	CRAM092	0
LEE	CRAM078	0
LEE	CRAM078	0
LEE	CRAM078	0
LEE	CRAM078	0
LEE	CRAM078	0
LEE	CRAM092	0
LEE	CRAM078	0
LEE	CRAM078	0
LEE	CRAM078	0
LEE	CRAM078	0
KLE	GEOM130	0
KLE	GEOM006	0
KLE	GEOM016	0
TRI	GEOM034	0
GEU	CRAM051	0
TRI	PYRA021	0
TRI	PYRA013	0
GEU	PYRA003	0
TRI	TORT034	0
TRI	PYRA021	0
GEU	PYRA013	0
TRI	PYRA021	0
HYB	CRAM012	0
GEU	PYRA003	0
HYB	CRAM013	0
TRI	PYRA021	0
GEU	PYRA013	0
LEE	CRAM092	0
LEE	CRAM092	0
GEU	PYRA003	0
TRI	GEOM132	0
TRI	CRAM013	0
GEU	PYRA003	0
HYB	CRAM013	0
TRI	PYRA021	0
TRI	PYRA021	0
TRI	GEOM132	0
TRI	THYR010	0
KLE	TORT131	0
GEU	CHOR012	0
GEU	CHOR012	0
TRI	GEOM132	0
KLE	LIMA024	0
TRI	GEOM132	0
TRI	GEOM132	0
HYB	CRAM077	0
TRI	TORT008	0
GEU	CHOR012	0
GEU	CHOR012	0
TRI	GEOM132	0
GEU	CHOR012	0
TRI	TORT061	0
TRI	GEOM132	0
TRI	GEOM132	0
KLE	TORT044	0
GEU	CHOR012	0
KLE	TORT131	0
KLE	TORT034	0
TRI	PYRA021	0
TRI	TORT034	0
GEU	CHOR012	0
TRI	PYRA021	0
GEU	PYRA013	0
GEU	PYRA013	0
TRI	TORT008	0
GEU	CHOR012	0
TRI	PYRA021	0
TRI	PYRA021	0
GEU	PYRA013	0
TRI	TORT008	0
GEU	CHOR012	0
GEU	CHOR012	0
TRI	TORT034	0
HYB	TORT040	0
KLE	GEOM043	0
KLE	XXXX073	0
KLE	TORT040	0
KLE	LYMA039	0
LEE	XXXX090	0
BAR	LYMA035	0
KLE	TORT040	0
KLE	TORT040	0
KLE	TORT008	0
TRI	TORT034	0
HEL	PYRA026	0
KLE	TORT040	0
KLE	TORT022	0
KLE	TORT008	0
TRI	THYR010	0
TRI	PYRA021	0
GEU	PYRA003	0
TRI	PYRA021	0
TRI	PYRA021	0
GEU	PYRA003	0
TRI	PYRA021	0
TRI	PYRA021	0
KLE	TORT008	0
HEL	PYRA026	0
KLE	TORT008	0
KLE	TORT008	0
GEU	PYRA003	0
HYB	CRAM012	0
TRI	CRAM013	0
TRI	CRAM013	0
TRI	CRAM013	0
TRI	CRAM013	0
TRI	CRAM013	0
TRI	CRAM013	0
TRI	CRAM013	0
HEL	PYRA026	0
HEL	PYRA026	0
HEL	PYRA026	0
GEU	PYRA003	0
GEU	PYRA003	0
GEU	PYRA003	0
GEU	PYRA003	0
GEU	PYRA003	0
GEU	PYRA003	0
GEU	PYRA003	0
GEU	PYRA013	0
HYB	CRAM012	0
KLE	TORT008	0
KLE	TORT131	0
HYB	CRAM012	0
GEU	PYRA013	0
LEE	CRAM078	0
TRI	NOCT081	0
KLE	GEOM016	0
KLE	TORT022	0
HYB	CRAM012	0
HEL	PYRA026	0
KLE	GEOM016	0
KLE	GEOM006	0
KLE	GEOM130	0
HYB	NOCT077	0
HYB	NOCT077	0
HYB	NOCT077	0
HYB	NOCT077	0
HYB	THYR011	0
HYB	THYR011	0
HYB	THYR011	0
HYB	THYR011	0
HYB	THYR011	0
TRI	CRAM013	0
TRI	CRAM013	0
HYB	CRAM013	0
HYB	CRAM012	0
HYB	CRAM012	0
HYB	CRAM012	0
HYB	CRAM012	0
HYB	CRAM012	0
HYB	CRAM012	0
HYB	CRAM012	0
GEU	HYBL003	0
TRI	PYRA021	0
TRI	PYRA021	0
TRI	PYRA021	0
TRI	PYRA021	0
TRI	PYRA021	0
TRI	PYRA021	0
TRI	LYMA059	0
HYB	GEOM132	0
TRI	PYRA021	0
GEU	PYRA003	0
GEU	PYRA003	0
KLE	TORT022	0
KLE	TORT040	0
KLE	TORT040	0
GEU	PYRA003	0
GEU	PYRA003	0
GEU	PYRA003	0
GEU	PYRA003	0
GEU	PYRA013	0
KLE	TORT067	0
GEU	PYRA013	0
GEU	PYRA013	0
GEU	PYRA013	0
GEU	PYRA013	0
GEU	PYRA013	0
GEU	CHOR012	0
GEU	CHOR012	0
GEU	CHOR012	0
GEU	CHOR012	0
GEU	CHOR012	0
GEU	CHOR012	0
GEU	CHOR012	0
KLE	LYMA039	0
KLE	LYMA039	0
KLE	LYMA039	0
KLE	XXXX116	0
KLE	XXXX117	0
HEL	XXXX118	0
TRI	TORT022	0
TRI	TORT008	0
TRI	TORT008	0
TRI	TORT008	0
HYB	TORT131	0
KLE	TORT008	0
TRI	TORT008	0
TRI	TORT008	0
KLE	TORT008	0
GEU	TORT131	0
KLE	TORT008	0
KLE	TORT044	0
TRI	TORT044	0
KLE	TORT044	0
KLE	TORT044	0
KLE	LYMA060	0
KLE	LYMA060	0
TRI	NOCT048	0
KLE	LYMA039	0
KLE	LYMA039	0
KLE	LYMA039	0
KLE	LYMA039	0
KLE	LYMA039	0
KLE	GEOM113	0
KLE	GEOM015	0
KLE	GEOM006	0
GEU	GEOM144	0
GEU	PYRA003	0
GEU	PYRA003	0
TRI	PYRA021	0
TRI	PYRA021	0
TRI	PYRA021	0
TRI	PYRA021	0
TRI	PYRA021	0
TRI	CRAM013	0
TRI	CRAM013	0
HYB	CRAM013	0
HYB	CRAM012	0
HYB	CRAM012	0
HYB	CRAM012	0
HYB	CRAM012	0
HYB	CRAM012	0
HYB	CRAM012	0
HYB	CRAM012	0
KLE	XXXX117	0
KLE	XXXX117	0
KLE	XXXX117	0
KLE	XXXX117	0
KLE	XXXX117	0
KLE	XXXX117	0
KLE	XXXX117	0
KLE	XXXX117	0
KLE	XXXX117	0
KLE	XXXX117	0
KLE	XXXX117	0
KLE	XXXX117	0
KLE	XXXX117	0
KLE	XXXX117	0
KLE	XXXX117	0
KLE	XXXX117	0
KLE	XXXX117	0
HEL	XXXX118	0
KLE	XXXX116	0
KLE	XXXX116	0
KLE	XXXX116	0
KLE	XXXX116	0
KLE	XXXX116	0
KLE	TORT040	0
TRI	TORT034	0
KLE	TORT034	0
TRI	TORT008	0
KLE	TORT008	0
KLE	TORT008	0
TRI	TORT098	0
TRI	TORT022	0
KLE	TORT022	0
TRI	TORT167	0
TRI	TORT034	0
TRI	TORT034	0
TRI	TORT095	0
LEE	TORT034	0
LEE	XXXX090	0
LEE	XXXX090	0
TRI	GEOM132	0
TRI	LYMA059	0
TRI	LYMA059	0
HYB	THYR011	0
HYB	THYR011	0
HYB	NOCT077	0
HYB	NOCT077	0
HYB	NOCT077	0
HYB	NOCT077	0
HYB	NOCT077	0
HYB	NOCT077	0
HYB	NOCT077	0
HYB	NOCT077	0
HYB	NOCT077	0
HYB	NOCT077	0
HYB	NOCT077	0
HYB	NOCT077	0
TRI	NOCT081	0
TRI	NOCT081	0
HYB	NOCT085	0
HYB	NOCT085	0
KLE	GEOM006	0
TRI	GEOM034	0
