Sp. Code	Hydriastele microspadix (Becc.) Burret.	Artocarpus camansi Blanco	Ficus botryocarpa Miq.	Breynia cernua (Poir.) Muell. Arg.	Casearia erythrocarpa Sleumer	Ficus conocephalifolia Ridley	Ficus copiosa Steud.	Ficus dammaropsis Diels	Dracaena angustifolia Roxb.	Endospermum labios Schodde	Eupomatia laurina R. Br.	Gardenia hansemannii K. Schum.	Homalanthus novoguineensis K. Schum.	Macaranga densiflora Warb.	Macaranga cf. brachytricha Airy Shaw	Mallotus mollissimus (Geisel.) Airy Shaw	Macaranga ducis Whitmore	Macaranga quadriglandulosa Warb.	Melanolepis multiglandulosa Rchb. & Zoll. 	Ficus nodosa Teysm. & Binn.	Osmoxylon sessiliflorum (Lauterb.) Philipson	Pavetta platyclada K.Schum. & Lauterb.	Ficus phaeosyce Laut. & K. Schum.	Pimelodendron amboinicum Hassk.	Premna obtusifolia R.Br.	Psychotria leptothyrsa Miq.	Psychotria micralabastra Valeton	Psychotria micrococca Valeton	Pterocarpus indicus Willd.	Ficus pungens Reinw. ex Blume	Ficus septica Burm. f.	Kibara cf. coriacea (Blume) Hook.f. & Thomson	Sterculia schumanniana (Lauterb.) Mildbr.	Tabernaemontana aurantiaca Gaudich.	Timonius timon (Spreng.) Merr.	Ficus trachypison K. Schum.	Ficus variegata Blume	Ficus wassa Roxb.	ni.	pi	Guild	Order	Family	Species
XXXX076				3										5	2	290	6	9																					315	6	semi-concealed chewers	Lepidoptera	Gelechiidae	Dichomeris sp. [XXXX076]
XXXX095																													446										446	1	semi-concealed chewers	Lepidoptera	Gelechiidae	Dichomeris sp. [XXXX095] 
XXXX048														7	13		9	152																					181	4	semi-concealed chewers	Lepidoptera	Gelechiidae	Dichomeris ochreoviridella (Pagenstecher)
XXXX048A														7	14		9	152																					182	4	semi-concealed chewers	Lepidoptera	Gelechiidae	Dichomeris sp. near ochreoviridella (Pag.) 
XXXX079													8																										8	1	semi-concealed chewers	Lepidoptera	Gelechiidae	Gen. nr. Dichomeris sp. [XXXX079]
TORT055						3																																	3	1	semi-concealed chewers	Lepidoptera	Gelechiidae	Indet. [TORT055]
XXXX078															3			12																					15	2	semi-concealed chewers	Lepidoptera	Gracillariidae	Deoptilia sp. [XXXX078]
XXXX100																																	156						156	1	semi-concealed chewers	Lepidoptera	Gracillariidae	Psydrocercops sp. [XXXX100]
HESP002	16																																						16	1	semi-concealed chewers	Lepidoptera	Hesperiidae	Cephrenes sp. nr. augiades (C. Felder)
HESP003																													2										2	1	semi-concealed chewers	Lepidoptera	Hesperiidae	No adult reared [HESP003]
HESP004	5																																						5	1	semi-concealed chewers	Lepidoptera	Hesperiidae	No adult reared [HESP004]
HYBL001																									12														12	1	semi-concealed chewers	Lepidoptera	Hyblaeidae	Hyblaea constellata Guenee
HYBL002																									9														9	1	semi-concealed chewers	Lepidoptera	Hyblaeidae	Hyblaea puera (Cramer) complex
CRAM053																																163							163	1	semi-concealed chewers	Lepidoptera	Immidae	Imma niphopelta Meyrick
TORT071				15									2		2			3		2					6				2				7						39	8	semi-concealed chewers	Lepidoptera	Immidae	Moca congrualis (Walsingham)
XXXX090											32																2		2										36	3	semi-concealed chewers	Lepidoptera	Lecithoceridae	Scythropiodes sp. nov. nr. perissa (Diakonoff)
TORT120																													6										6	1	semi-concealed chewers	Lepidoptera	Peleopodidae	Acria sciogramma Meyrick
PSYC001											2					2		2	2										7		3								18	6	semi-concealed chewers	Lepidoptera	Psychidae	Eumeta variegata (Snellen)
PSYC016		2							5																														7	2	semi-concealed chewers	Lepidoptera	Psychidae	Mahasena andamana Moore
PSYC005				7					7		12			6	3	6	5	13	4		2				3				18			3	2		10				101	15	semi-concealed chewers	Lepidoptera	Psychidae	No adult reared [PSYC005]
PSYC008																		7																					7	1	semi-concealed chewers	Lepidoptera	Psychidae	No adult reared [PSYC008]
PSYC009				2														2																					4	2	semi-concealed chewers	Lepidoptera	Psychidae	No adult reared [PSYC009]
PSYC014																																			3				3	1	semi-concealed chewers	Lepidoptera	Psychidae	No adult reared [PSYC014]
PSYC015																																			4				4	1	semi-concealed chewers	Lepidoptera	Psychidae	No adult reared [PSYC015]
PSYC006				8	2				8	2	8		2	2	7	2	2	14	2						10				17						15				101	15	semi-concealed chewers	Lepidoptera	Psychidae	Oiketicus sp. [PSYC006]
PTER002																									57														57	1	semi-concealed chewers	Lepidoptera	Pterophoridae	Cosmoclostis sp. nov. [PTER002]
NOCT058																													2										2	1	semi-concealed chewers	Lepidoptera	Pyralidae	No adult reared [NOCT058]
PYRA002														51	24		25	41																					141	4	semi-concealed chewers	Lepidoptera	Pyralidae	Orthaga melanoperalis Hampson
NOCT020																		2											9										11	2	semi-concealed chewers	Lepidoptera	Pyralidae	Orthaga sp. nr. percnodes Turner
TORT041						2																	6													7		6	21	4	semi-concealed chewers	Lepidoptera	Pyralidae	Pseudocera trissosticha (Turner)
XXXX070										9																													9	1	semi-concealed chewers	Lepidoptera	Pyralidae	Ptyomaxia sp. [XXXX070]
XXXX021														2	71		9	3																					85	4	semi-concealed chewers	Lepidoptera	Pyralidae	Unadophanes trissomita (Turner)
TORT062														31	9		31	52																					123	4	semi-concealed chewers	Lepidoptera	Thyrididae	Addaea pusilla (Butler)
THYR002																								4															4	1	semi-concealed chewers	Lepidoptera	Thyrididae	Aglaopus leprosa (Warren)
GEOM044																																			11				11	1	semi-concealed chewers	Lepidoptera	Thyrididae	Aglaopus sp. nr. scintillans (Warren)
TORT083														5		2																							7	2	semi-concealed chewers	Lepidoptera	Thyrididae	Mellea nitida (Pagenstecher)
THYR001														243	13	7	17	10						7															297	6	semi-concealed chewers	Lepidoptera	Thyrididae	Mellea ordinaria (Warren) complex
TORT075															2	15	6	3																					26	4	semi-concealed chewers	Lepidoptera	Thyrididae	Mellea ramifera (Warren)
THYR003															27			111																					138	2	semi-concealed chewers	Lepidoptera	Thyrididae	Pharambara splendida (Butler)
THYR005																		18																					18	1	semi-concealed chewers	Lepidoptera	Thyrididae	Rhodoneura aurata (Butler)
TORT121																													2										2	1	semi-concealed chewers	Lepidoptera	Tortricidae	Adoxophyes sp. [TORT121]
TORT034				3						2										2					3								8				9	2	29	7	semi-concealed chewers	Lepidoptera	Tortricidae	Adoxophyes fasciculana (Walker)
TORT044				7	4			3					3							2			3						28			3	2						55	9	semi-concealed chewers	Lepidoptera	Tortricidae	Adoxophyes sp. [TORT044]
TORT066					8									2							3			3					21			3	7						47	7	semi-concealed chewers	Lepidoptera	Tortricidae	Adoxophyes sp. [TORT066]
TORT131				7						2										2	2		2						63			5					4	4	91	9	semi-concealed chewers	Lepidoptera	Tortricidae	Adoxophyes sp. [TORT131]
TORT008			2		4															2	3								4										15	5	semi-concealed chewers	Lepidoptera	Tortricidae	Adoxophyes templana Pag. complex A
TORT008a			2																										6				3						11	3	semi-concealed chewers	Lepidoptera	Tortricidae	Adoxophyes templana Pag. complex B
TORT022			17	8		7	7	7					9							8			5	3					17		2		2				11	5	108	14	semi-concealed chewers	Lepidoptera	Tortricidae	Adoxophyes thoracica Diakonoff
TORT037										4																													4	1	semi-concealed chewers	Lepidoptera	Tortricidae	Adoxophyes tripselia (Lower)
TORT064													58				3																						61	2	semi-concealed chewers	Lepidoptera	Tortricidae	Gatesclarkeana pachnodes (Meyrick)
TORT110					505																																		505	1	semi-concealed chewers	Lepidoptera	Tortricidae	Gen. nov. sp. nov. [TORT110] 
TORT063				4														3																					7	2	semi-concealed chewers	Lepidoptera	Tortricidae	Gen. nr. but not Acroclita sp. [TORT063]
TORT065													4	5										50															59	3	semi-concealed chewers	Lepidoptera	Tortricidae	Heleanna sp. [TORT065]
TORT086																													4										4	1	semi-concealed chewers	Lepidoptera	Tortricidae	Homona auriga (Meyrick)
TORT040			4	6			7	2	310		180									11			4	2	2				59	4	2						7	2	602	15	semi-concealed chewers	Lepidoptera	Tortricidae	Homona mermerodes Meyrick
TORT067																													10										10	1	semi-concealed chewers	Lepidoptera	Tortricidae	Homona trachyptera Diakonoff
TORT141																																5							5	1	semi-concealed chewers	Lepidoptera	Tortricidae	No adult reared [TORT141]
TORT117																																106							106	1	semi-concealed chewers	Lepidoptera	Tortricidae	Sorolopha sp. [TORT117] 
TORT132																																3							3	1	semi-concealed chewers	Lepidoptera	Tortricidae	Sorolopha sp. nr. elaeodes Lower
TORT039																				2													25						27	2	semi-concealed chewers	Lepidoptera	Tortricidae	Xenothictis gnetivora Brown, Miller & Horak
