"Obj" "AbuOrd" "AbuRnd" "RowSpO" "RowSpR" "ColSpO" "ColSpR" "IntOrd" "IntRnd" "H2Ord" "H2Rnd" "GenOrd" "GenRnd" "VulOrd" "VulRnd" "50%rOrd" "50%rRnd" "50%cOrd" "50%cRnd" "50%intOrd" "50%intRnd"
"95" 4982 4642 4642 13 24.61 12 28.03 13 31.04 1 0.996027293154089 1.11072142864119 1.09920077146057 1 1.21069614351427 4 5.12 4 5.14 4 5.99
"96" 5035 4589 4589 13 24.41 12 27.7 13 30.63 1 0.996383614808266 1.11200018996566 1.09726545525364 1 1.2045000891575 4 5.05 4 5.09 4 5.96
"97" 5088 4536 4536 12 24.23 11 27.44 12 30.23 1 0.996840678971168 1.11125779651933 1.0949308356473 1 1.19829982765142 4 5 4 5.01 4 5.84
"98" 5141 4483 4483 12 24.1 11 27.2 12 29.88 1 0.997325151195534 1.09867942098124 1.09281997367529 1 1.19223053369875 4 5 4 5 4 5.69
"99" 5194 4430 4430 12 23.96 11 26.99 12 29.5 1 0.997616378219747 1.08211389100558 1.09084425196408 1 1.18630232166042 4 5 4 5 4 5.35
"100" 5247 4377 4377 12 23.81 11 26.74 12 29.1 1 0.99809848340184 1.05988350426466 1.08913762634987 1 1.18057209716772 4 5 4 5 4 5.11
"101" 5300 4324 4324 12 23.64 11 26.48 12 28.75 1 0.998448456107351 1.02926220988575 1.08767182098216 1 1.17509791431876 3 5 3 5 3 5.02
"102" 5353 4271 4271 11 23.55 11 26.34 11 28.52 1 0.99868072317148 1 1.08636339258887 1 1.16983816680866 3 5 3 5 3 5
"103" 5406 4218 4218 11 23.44 11 26.08 11 28.24 1 0.998770797769339 1 1.08519896210837 1 1.16475748356771 3 5 3 5 3 5
"104" 5459 4165 4165 11 23.36 11 25.91 11 28.02 1 0.998783906830223 1 1.08398465032267 1 1.15963503395824 3 5 3 5 3 5
"105" 5512 4112 4112 11 23.3 11 25.65 11 27.74 1 0.998894836933415 1 1.08288400777962 1 1.15450893028191 3 5 3 5 3 5
"106" 5565 4059 4059 11 23.24 11 25.51 11 27.57 1 0.99899035101045 1 1.08185320082791 1 1.14966033378353 3 5 3 5 3 5
"107" 5618 4006 4006 10 23.18 10 25.29 10 27.34 1 0.999005258687528 1 1.08072606088538 1 1.14476196120223 3 4.99 3 4.99 3 4.99
"108" 5671 3953 3953 10 23.09 10 25.07 10 27.08 1 0.998979172184045 1 1.0796433676295 1 1.14014236416847 3 4.99 3 4.99 3 4.99
"109" 5724 3900 3900 10 23 10 24.86 10 26.86 1 0.999021440729912 1 1.07863545821791 1 1.13567959575444 3 4.93 3 4.93 3 4.93
"110" 5777 3847 3847 10 22.94 10 24.7 10 26.7 1 0.999140799990029 1 1.07744152000115 1 1.13129020198821 3 4.74 3 4.74 3 4.74
"111" 5830 3794 3794 10 22.91 10 24.5 10 26.5 1 0.999163889890308 1 1.0764085925351 1 1.12660380485332 3 4.48 3 4.48 3 4.48
"112" 5883 3741 3741 9 22.84 9 24.23 9 26.22 1 0.999210339227384 1 1.07508478449557 1 1.12283040028913 3 4.24 3 4.24 3 4.24
"113" 5936 3688 3688 9 22.72 9 23.99 9 25.93 1 0.999236779183155 1 1.07384184200723 1 1.11909236411192 3 4.08 3 4.07 3 4.08
