"Obj" "AbuOrd" "AbuRnd" "RowSpO" "RowSpR" "ColSpO" "ColSpR" "IntOrd" "IntRnd" "H2Ord" "H2Rnd" "GenOrd" "GenRnd" "VulOrd" "VulRnd" "50%rOrd" "50%rRnd" "50%cOrd" "50%cRnd" "50%intOrd" "50%intRnd"
"45" 44 903 608.1 64 60.34 77 77 138 118.36 0.875412579524251 0.875349273987298 1.59517716560501 1.57314461771982 2.40685670660108 2.09042733100267 7 6.3 11 7.39 14 9.67
"46" 45 901 601.27 64 59.92 76 76 136 116.9 0.876159225729169 0.875820874888726 1.59427855775951 1.57329944121642 2.39693308255632 2.07532841396217 7 6.2 11 7.31 14 9.51
"47" 46 899 593.61 63 59.55 75 75 134 115.48 0.876767671699282 0.876982962448421 1.59337595165887 1.57276502741417 2.39495544361866 2.05806542125665 7 6.14 11 7.15 14 9.35
"48" 47 897 584.64 62 59.06 74 74 133 113.82 0.876698400206933 0.877837593494342 1.59469897496245 1.57075473027539 2.39806571216631 2.04465819334203 7 6.04 10 7.05 14 9.15
"49" 48 895 575.04 62 58.55 73 73 132 112.33 0.877594663054467 0.877802280807919 1.59602791121935 1.57133398235257 2.37332786715669 2.0356717265732 7 6.02 10 6.95 13 9.03
"50" 49 893 566.77 62 58.14 72 72 131 110.79 0.877924482120781 0.878510908568262 1.59736280015825 1.5704944335623 2.36744506282781 2.02039107856947 7 5.99 10 6.87 13 8.97
"51" 50 891 556.84 62 57.65 71 71 130 109.24 0.8788794840416 0.878734535201789 1.59870368186456 1.57053159687455 2.33328337493615 2.01037928578802 7 5.89 10 6.72 13 8.82
"52" 51 889 549.15 62 57.3 70 70 129 107.75 0.880182043877416 0.879219613527554 1.60005059678439 1.57207846887581 2.32574872516197 1.99441018128142 7 5.78 10 6.62 13 8.72
"53" 52 887 541.77 62 56.97 69 69 128 106.33 0.881235209786062 0.879359165425263 1.60140358572866 1.57474899005281 2.31185693337634 1.98461968091024 7 5.71 10 6.56 13 8.62
"54" 53 885 534.93 61 56.54 68 68 127 104.87 0.881167790337131 0.880279282114434 1.6027626898772 1.57438368123342 2.31482158181335 1.97254311850351 7 5.67 10 6.49 13 8.5
"55" 54 883 528.55 61 55.95 67 67 125 103.29 0.882047184687248 0.881519676974431 1.60186294512041 1.57280874820297 2.30373154436146 1.95768704096323 7 5.68 10 6.39 13 8.39
"56" 55 881 519.77 61 55.48 66 66 123 101.82 0.884777224745985 0.881223526563779 1.60095911525689 1.57648376493224 2.29285649744579 1.93843750593865 7 5.64 10 6.32 13 8.29
"57" 56 879 513.8 59 54.97 65 65 121 100.22 0.885281183320219 0.882068249094408 1.60005117240196 1.57574238190817 2.29579815045477 1.92062312837897 7 5.63 10 6.22 13 8.16
"58" 57 877 507.27 59 54.52 64 64 119 98.61 0.886602021822839 0.883785186849932 1.59913908841656 1.57363835610715 2.27784878843536 1.90459293052723 7 5.55 10 6.07 13 7.98
"59" 58 875 499.83 59 54.19 63 63 118 97.21 0.887235245622787 0.884841921819689 1.60050854919008 1.57419801613177 2.27771856312375 1.88814101170887 7 5.45 10 5.99 13 7.91
"60" 59 873 490.37 59 53.71 62 62 117 95.69 0.887870192741848 0.885571461443203 1.60188428469796 1.57363862472229 2.253875339055 1.87547652151396 7 5.41 10 5.96 13 7.84
"61" 60 870 482.27 59 53.31 61 61 115 94.11 0.889052747196814 0.886394923210964 1.60089119059401 1.57365842095488 2.2307848198069 1.8599170234609 7 5.4 10 5.89 13 7.72
"62" 61 867 475.35 59 52.87 60 60 114 92.69 0.8903107584462 0.887530495139671 1.60297039886597 1.57557519347749 2.22601578121401 1.84357611431939 7 5.44 10 5.82 13 7.68
"63" 62 864 467.89 57 52.33 59 59 112 91.18 0.890184102397386 0.888020772426269 1.60197417950494 1.577441878877 2.23027278045434 1.82945373739819 7 5.4 10 5.72 13 7.51
"64" 63 861 458.58 57 51.91 58 58 110 89.64 0.890184102397386 0.888659130122566 1.60097101784871 1.57889407797672 2.20922958549605 1.81577245050519 7 5.33 10 5.65 13 7.39
"65" 64 858 449.6 57 51.39 57 57 108 88.09 0.89181132935145 0.889335070037523 1.599960841076 1.58069361193965 2.20220751549582 1.80692771114393 7 5.2 10 5.48 13 7.24
"66" 65 855 443.42 56 50.91 56 56 107 86.49 0.891434228611472 0.891305785692137 1.60206596683417 1.57751653778229 2.20642578748001 1.78961037521913 7 5.11 10 5.37 12 7.14
"67" 66 852 436.22 55 50.44 55 55 106 85 0.89107005500048 0.892883274516678 1.60418591742161 1.57819617218006 2.21067376560494 1.7695193462522 7 5.1 10 5.26 12 6.99
"68" 67 849 429 54 49.77 54 54 105 83.46 0.8906636209969 0.892905505584633 1.606320849992 1.57929645523315 2.21495176477669 1.75514281615898 7 5.04 10 5.15 12 6.92
"69" 68 846 421.02 54 49.36 53 53 104 82.14 0.889768908769623 0.893339282622102 1.60847092392815 1.58278490482766 2.17957777426547 1.74300161585948 7 4.96 9 5.05 12 6.77
"70" 69 843 412.51 54 48.71 52 52 103 80.49 0.890320347495809 0.894713097675177 1.61063630088163 1.58395640300276 2.16682585078185 1.72844061908669 7 4.87 9 4.98 12 6.68
"71" 70 840 403.96 54 48.02 51 51 101 78.81 0.892722777802161 0.895310755249041 1.60963899633177 1.58479474254233 2.15198231829905 1.71790638111184 7 4.83 9 4.92 12 6.56
"72" 71 837 395.57 53 47.42 50 50 100 77.27 0.892329759452887 0.895891422287259 1.61182408234013 1.58480991384919 2.15611128718185 1.70678901983467 7 4.72 9 4.82 12 6.41
"73" 72 833 387.04 53 46.85 49 49 98 75.63 0.896242108149788 0.897101504738131 1.6111376896954 1.58344395217046 2.12388275348885 1.69165074697698 7 4.68 9 4.69 12 6.34
"74" 73 829 377.05 53 46.18 48 48 97 73.99 0.899085723262508 0.897425499501964 1.61408648433808 1.58456218019044 2.1117223370596 1.67987056243177 7 4.53 9 4.61 12 6.17
"75" 74 825 366.34 52 45.67 47 47 96 72.41 0.898521593025998 0.898460800992169 1.61706387335306 1.58622746679495 2.11711250596655 1.65919312530452 7 4.53 9 4.55 12 6.11
"76" 75 821 357.55 52 44.98 46 46 95 70.86 0.899740128876465 0.899319748257713 1.62007027468486 1.58978573462913 2.09383132843463 1.64710691864134 7 4.45 9 4.4 12 5.97
"77" 76 817 350.69 52 44.38 45 45 94 69.38 0.900193172633781 0.900429691558169 1.623106114463 1.590626050349 2.09521248005202 1.63236909620678 7 4.42 9 4.32 12 5.82
"78" 77 812 342.94 52 43.74 44 44 93 67.78 0.900463930779728 0.9016530837392 1.62694297477373 1.59206091786219 2.08151598439874 1.61447999849134 7 4.31 9 4.19 12 5.69
"79" 78 807 336.05 52 43.05 43 43 91 66.22 0.904674865999915 0.903457035119024 1.62487860842036 1.59161692301935 2.0688157060125 1.6010483619665 7 4.26 9 4.12 11 5.51
"80" 79 802 325.89 51 42.24 42 42 88 64.64 0.905203506152583 0.903294082081013 1.61888402811214 1.58907690066997 2.04877343789971 1.59866077536136 7 4.19 9 4.01 11 5.45
"81" 80 797 319.76 51 41.54 41 41 87 63.06 0.91091552823058 0.904573591255722 1.6227666129811 1.58713607279211 1.99181683187521 1.58626550124376 7 4.1 9 3.91 11 5.31
