"Obj" "AbuOrd" "AbuRnd" "RowSpO" "RowSpR" "ColSpO" "ColSpR" "IntOrd" "IntRnd" "H2Ord" "H2Rnd" "GenOrd" "GenRnd" "VulOrd" "VulRnd" "50%rOrd" "50%rRnd" "50%cOrd" "50%cRnd" "50%intOrd" "50%intRnd"
"22" 21 12078 8613.26 17 17 168 153.83 598 513.43 0.36253685221716 0.371926217565589 7.7491396922448 6.9567364145277 12.4969431819946 12.2719119110673 7 5.18 5 5.04 40 34.45
"23" 22 11554 8087.83 16 16 165 149.61 573 483.09 0.361674432437319 0.375213636721132 7.25186685415319 6.56174517672869 12.4948441213786 12.2842295712338 6 4.93 5 5.03 37 32.47
"24" 23 11026 7566.76 15 15 160 145.32 531 453.79 0.366774149591717 0.378324870936266 6.72538356339545 6.17807017146145 12.0927156042039 12.3028785081784 6 4.56 5 5.02 34 30.29
"25" 24 10470 7085.44 14 14 155 140.57 492 422.66 0.372424867017622 0.380851071716768 6.30077520672855 5.82846701707081 11.6371697741456 12.280089221311 6 4.21 5 5.01 31 28.33
"26" 25 9884 6554.81 13 13 152 135.64 460 392.73 0.367601848263827 0.383266814427139 6.10197807040034 5.48068018558227 11.6467982943938 12.3365221252763 5 3.92 5 5 29 26.49
"27" 26 9286 6052.79 12 12 146 130.92 430 362.72 0.377031586567763 0.38985633231668 5.62976792672738 5.09576976475553 11.5540231764815 12.3374128993307 5 3.68 5 4.87 25 24.42
"28" 27 8610 5602.16 11 11 142 125.73 392 333.2 0.380273054367099 0.394837050342951 5.40185420566164 4.74621727525768 11.3509982598277 12.3638484496271 4 3.23 5 4.95 23 22.64
"29" 28 7922 5064.04 10 10 135 119.93 352 302.45 0.356267995893112 0.404242817181569 5.43968070800488 4.34179645784305 11.6087892459243 12.371145931821 4 2.92 4 4.86 22 20.51
"30" 29 7233 4548.68 9 9 132 113.92 316 271.87 0.371725976363444 0.411555691271616 4.84772631003414 3.98640291228542 11.6233488656783 12.3521560169641 4 2.68 4 4.79 20 18.47
"31" 30 6535 4056.13 8 8 129 108.19 286 242.33 0.364207020747035 0.421215255393842 4.51413815354211 3.62585414937665 11.6318210621728 12.4237312232198 3 2.23 4 4.69 18 16.6
"32" 31 5833 3566.15 7 7 114 101.41 255 212.89 0.274703468369836 0.433943249538781 4.74629693306698 3.25342161726585 12.2373433715304 12.4234905616257 3 1.95 3 4.56 17 14.5
"33" 32 5130 3068.4 6 6 107 93.03 220 181.48 0.295971027847878 0.44098520881044 4.00333220218283 2.91676082998665 12.1749810920859 12.3681607095339 2 1.72 3 4.41 15 12.47
"34" 33 4354 2568.31 5 5 103 83.79 189 150.91 0.350096057870554 0.45203065440322 3.21192007068827 2.56618969664379 12.4201744060152 12.2446952785696 2 1.17 4 4.19 12 10.42
"35" 34 3549 2060.9 4 4 93 74.26 157 120.91 0.389513724659185 0.476744810961723 2.56409917230739 2.16994683946988 12.7052128071484 12.2669080930712 1 0.98 4 3.89 10 8.4
"36" 35 2713 1511.75 3 3 85 62.36 120 90 0.482143012439593 0.504278143630448 1.92100188653454 1.77966058316418 13.5972649884079 12.3512360855408 1 0.71 4 3.6 8 6.33
"37" 36 1862 1030.19 2 2 59 49.41 80 61.07 0.506517689488215 0.55181216579365 1.45372116145738 1.3818067814539 14.056009538069 12.5029630151943 0 0 4 3.08 5 4.23
"38" 37 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"39" 38 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
