"Obj" "AbuOrd" "AbuRnd" "RowSpO" "RowSpR" "ColSpO" "ColSpR" "IntOrd" "IntRnd" "H2Ord" "H2Rnd" "GenOrd" "GenRnd" "VulOrd" "VulRnd" "50%rOrd" "50%rRnd" "50%cOrd" "50%cRnd" "50%intOrd" "50%intRnd"
"19" 1800 11066 11066 33 35.22 52 85.83 86 188.82 0.89187359914127 0.862112802523536 2.33713644002735 2.47563752662049 2.18848384337553 2.63461253883061 9 9 7 7.46 12 13
"20" 1900 10966 10966 33 35.01 49 83.48 82 179.48 0.896274995571168 0.866027482576367 2.33167965215426 2.44676824911593 2.11581684976796 2.57264124577683 9 9 7 7 12 13
"21" 2000 10866 10866 33 34.88 48 81.25 78 170.77 0.901207723789222 0.86993331119718 2.31702902824082 2.41863321970664 2.0549769131436 2.51208291658192 9 8.94 7 7 12 12.24
"22" 2100 10766 10766 33 34.71 46 79.08 74 163 0.91177578849391 0.873825032067092 2.24303115583209 2.39244905051001 2.00684930358747 2.45313187632012 9 8.64 7 7 12 12
"23" 2200 10666 10666 33 34.55 45 76.69 71 154.86 0.919561158138807 0.877681265891952 2.20409135638067 2.36724846583318 1.96101061183683 2.39672516394439 9 8.31 7 7 12 12
"24" 2300 10566 10566 33 34.38 44 74.76 67 147.79 0.923718733848411 0.88181502662045 2.19252468616422 2.34284997748571 1.90354857566377 2.3435365612275 8 8.05 7 7 11 12
"25" 2400 10466 10466 33 34.28 42 72.94 64 141 0.925305666170166 0.886053484743222 2.19391355827826 2.31938880276391 1.87061190074714 2.29209628560425 8 8 7 7 11 12
"26" 2500 10366 10366 33 34.15 42 70.97 62 134.68 0.934233907574912 0.89029728887825 2.16857275376054 2.29611872934974 1.80701222006546 2.24238322905875 8 8 6 7 11 11.97
"27" 2600 10266 10266 33 34.08 41 69.35 59 129.01 0.939539240918007 0.894472521668647 2.15049024467788 2.27318115469212 1.76404557939293 2.19490260929526 8 8 6 7 11 11.06
"28" 2700 10166 10166 33 33.93 41 67.84 57 123.88 0.941834568955502 0.898313088874653 1.96644701912008 2.25088494859064 1.74286575937882 2.14911493692429 8 8 6 7 11 11
"29" 2800 10066 10066 31 33.8 39 66.09 55 118.64 0.941113048020575 0.902269512251643 1.97604812203206 2.22970009564426 1.74497139717893 2.10562619426897 8 8 6 7 10 11
"30" 2900 9966 9966 31 33.7 37 64.43 53 113.58 0.946614610493957 0.90600899761877 1.98439773474231 2.20877969832969 1.66346797585608 2.06465168641066 8 8 6 6.94 10 11
"31" 3000 9866 9866 31 33.65 37 62.63 51 108.77 0.950475126110281 0.909661313650965 1.96976858952624 2.18824315890617 1.63365811207105 2.02501832832906 8 8 6 6.37 10 11
"32" 3100 9766 9766 30 33.49 36 60.96 50 104.46 0.948879066796318 0.912975066778678 1.97969863856911 2.16831982530152 1.62518984269292 1.98858123753343 8 8 6 6.03 10 10.98
"33" 3200 9666 9666 29 33.42 35 59.19 48 100.16 0.948668061279912 0.916276912595557 1.93818154240131 2.14899696269197 1.61796894036232 1.9527045742378 8 8 6 6 10 10.06
"34" 3300 9566 9566 29 33.32 34 57.5 46 96.51 0.955782268365548 0.919370513821088 1.9342497558188 2.12952813498717 1.58166404080875 1.91912186575596 8 8 6 6 10 10
"35" 3400 9466 9466 28 33.21 33 55.92 44 93.07 0.962090811543222 0.922314824792004 1.9035496229612 2.10859937949177 1.55241912581946 1.88659774766644 8 8 6 6 9 10
"36" 3500 9366 9366 28 33.17 32 54.36 43 89.96 0.96098681236467 0.924792853736842 1.89870207090983 2.08803538865896 1.50175141581373 1.85504652181454 8 8 6 6 9 10
"37" 3600 9266 9266 28 33.13 31 52.75 41 87.11 0.965581004330675 0.927204895794584 1.90090195968693 2.06775533308319 1.46775756817721 1.82476825563189 8 8 6 6 9 10
"38" 3700 9166 9166 28 33.08 30 51.36 40 84.43 0.966078443553185 0.92968378077307 1.91073069588252 2.04668827691129 1.4200322038735 1.7958928351101 7 7.99 5 6 9 10
"39" 3800 9066 9066 28 33.05 28 50.22 38 81.99 0.969480350678967 0.932031173921666 1.92077625837846 2.02683156835465 1.38419866721651 1.76761640447125 7 7.96 5 6 9 9.85
"40" 3900 8966 8966 28 33.03 27 48.97 37 79.64 0.975912699673744 0.934503324997764 1.93104590212571 2.00673456448476 1.3555687909851 1.74052848201224 7 7.75 5 6 9 9.05
"41" 4000 8866 8866 28 33.01 26 47.88 36 77.29 0.980288662908004 0.937028146971746 1.82095180462974 1.98534867705035 1.32549389610777 1.71442942994859 7 7.32 5 6 8 9
"42" 4100 8766 8766 27 33.01 26 46.98 34 75.22 0.983861426954795 0.939615237460558 1.65861763591491 1.96511537149783 1.32487701690518 1.68951960277563 7 7.05 5 6 8 9
"43" 4200 8666 8666 26 33 26 46.15 33 73.26 0.988325908001462 0.941913999368737 1.55081046223821 1.94455208496472 1.32522487117034 1.66526597433998 7 7 5 6 8 9
"44" 4300 8566 8566 26 33 25 45.3 32 71.07 0.990267966329519 0.944290735333809 1.52710778308827 1.92394456439719 1.31013561596273 1.63973541968274 7 7 5 6 8 9
"45" 4400 8466 8466 25 32.99 25 44.56 31 69.29 0.98985613621766 0.946364063721786 1.41703909690334 1.90346464961808 1.30889306340958 1.61665509722339 7 7 5 5.93 8 9
"46" 4500 8366 8366 25 32.98 25 43.94 30 67.6 0.986317748347327 0.948494035641121 1.34157186351327 1.88197866853318 1.28556819751442 1.59444704763816 6 7 6 5.73 8 8.79
