"Obj" "AbuOrd" "AbuRnd" "RowSpO" "RowSpR" "ColSpO" "ColSpR" "IntOrd" "IntRnd" "H2Ord" "H2Rnd" "GenOrd" "GenRnd" "VulOrd" "VulRnd" "50%rOrd" "50%rRnd" "50%cOrd" "50%cRnd" "50%intOrd" "50%intRnd"
"69" 68 6914 2408.63 21 17.06 21 20.47 23 23 0.994270939273959 0.993353825061934 1.12291896611833 1.10982629844951 1.13912181505129 1.23078611485776 6 2.52 7 2.71 7 2.85
"70" 69 6749 2294.22 20 16.54 20 19.65 22 22 0.994038990580778 0.993536439079915 1.12592409716138 1.10913127279605 1.1425230744206 1.21994936569685 6 2.47 6 2.63 7 2.76
"71" 70 6584 2199.42 19 16.05 20 18.83 21 21 1 0.993535621833356 1.07806331587977 1.10883151293228 1.14609481003412 1.20854638873829 6 2.39 6 2.48 7 2.61
"72" 71 6413 2088.61 18 15.57 19 18.02 20 20 1 0.99404927741286 1.080144842001 1.10218742103312 1.14999036788782 1.19130414284792 6 2.26 6 2.37 6 2.51
"73" 72 6200 2005.63 17 15.01 18 17.21 19 19 1 0.993694936826388 1.08289820512136 1.09885486793062 1.15514326278462 1.18068297699718 5 2.21 5 2.29 6 2.44
"74" 73 5976 1897.46 16 14.45 17 16.38 18 18 1 0.994838722537344 1.08600550062792 1.09818517014818 1.16095853903357 1.16877227981288 5 2.06 5 2.13 6 2.28
"75" 74 5749 1773.85 16 13.8 16 15.54 17 17 0.985145284180455 0.99454661407236 1.08940143881587 1.0918592813255 1.08517156726749 1.16191180098039 5 1.93 5 1.98 5 2.1
"76" 75 5520 1666.84 15 13.07 15 14.68 16 16 0.984159859589851 0.996753054386941 1.0931103028537 1.08259578174379 1.08870495293855 1.15249306592881 5 1.78 5 1.84 5 1.96
"77" 76 5291 1553.53 15 12.33 14 13.85 15 15 1 0.997273024219143 1.09714021390142 1.07649039429608 1 1.14259365155216 5 1.63 4 1.68 5 1.75
"78" 77 5045 1456.31 14 11.66 13 12.98 14 14 1 0.999034809862907 1.10187688240881 1.06933641445582 1 1.12953807566827 4 1.49 4 1.54 4 1.61
"79" 78 4796 1338.06 13 10.93 12 12.14 13 13 1 0.998799980095446 1.1071661534096 1.06814933283917 1 1.12902291269206 4 1.35 4 1.42 4 1.49
"80" 79 4545 1252.41 12 10.33 11 11.24 12 12 1 0.999032775727633 1.11308446023156 1.06176654485063 1 1.1171570465047 4 1.21 4 1.25 4 1.3
"81" 80 4290 1147.24 11 9.62 11 10.35 11 11 1 0.999036918501608 1 1.05021227768128 1 1.11588670940377 3 1.06 3 1.09 3 1.13
"82" 81 4031 1026.61 10 8.85 10 9.46 10 10 1 0.999196907466854 1 1.04882622214018 1 1.10476158074489 3 0.92 3 0.96 3 1
"83" 82 3768 925.9 9 8.1 9 8.52 9 9 1 0.999219681006693 1 1.04629475745599 1 1.09793155656417 3 0.82 3 0.85 3 0.87
"84" 83 3494 814.24 8 7.31 8 7.61 8 8 1 0.998813446193222 1 1.05719265279726 1 1.09069284888764 3 0.69 3 0.71 3 0.73
"85" 84 3220 709.22 7 6.46 7 6.74 7 7 1 0.99971802129001 1 1.02874695752975 1 1.0850467097992 2 0.57 2 0.62 2 0.62
"86" 85 2913 631.02 6 5.62 6 5.79 6 6 1 0.999625222215699 1 1.02530928003031 1 1.06482804808611 2 0.52 2 0.54 2 0.55
"87" 86 2587 531.96 5 4.7 5 4.82 5 5 1 0.999083577438045 1 1.03201138001441 1 1.06572983597007 2 0.38 2 0.4 2 0.42
"88" 87 2176 428.85 4 3.82 4 3.88 4 4 1 0.999442118172228 1 1.0358971173741 1 1.05201159148642 1 0.25 1 0.23 1 0.27
"89" 88 1730 325.2 3 2.93 3 2.92 3 3 1 1 1 1.03244061200742 1 1.03282358841135 1 0.14 1 0.13 1 0.15
"90" 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"91" 90 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"92" 91 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
