"Obj" "AbuOrd" "AbuRnd" "RowSpO" "RowSpR" "ColSpO" "ColSpR" "IntOrd" "IntRnd" "H2Ord" "H2Rnd" "GenOrd" "GenRnd" "VulOrd" "VulRnd" "50%rOrd" "50%rRnd" "50%cOrd" "50%cRnd" "50%intOrd" "50%intRnd"
"32" 31 9240 5400.86 31 27.51 38 38 58 50.16 0.954498934296543 0.959802042307678 1.40049013256978 1.39088246676208 1.75681988707937 1.49821991863541 8 5.23 9 5.46 12 6.75
"33" 32 9191 5264.12 31 27.15 37 37 57 48.91 0.954230191923402 0.960005025231146 1.40262526655911 1.39415364075477 1.74426205886305 1.48869082829801 8 5.12 9 5.31 12 6.59
"34" 33 9131 5128.81 30 26.87 36 36 56 47.62 0.952478471561966 0.962078717466504 1.40527092596044 1.39034022120667 1.74915262107221 1.47550871492162 8 5.07 9 5.18 12 6.36
"35" 34 9064 4994.04 30 26.48 35 35 53 46.36 0.957546823573251 0.962601975131876 1.39916043818158 1.39353459373039 1.73134393556037 1.45995773631357 8 4.93 9 4.96 11 6.15
"36" 35 8992 4846.49 30 26 34 34 52 44.94 0.957956493647199 0.963111903413273 1.40235656268659 1.39136018394735 1.64699599429666 1.45040632132858 8 4.82 9 4.82 11 6.02
"37" 36 8917 4688.1 30 25.59 33 33 51 43.55 0.958715601558898 0.963045332809167 1.40574074371177 1.39186490425303 1.61355925887245 1.43518638600922 8 4.67 9 4.68 11 5.83
"38" 37 8835 4539.44 29 25.18 32 32 50 42.18 0.956864195230593 0.965589533451444 1.40950653216501 1.38531824896494 1.61925386659487 1.4189411572948 8 4.52 9 4.48 11 5.68
"39" 38 8746 4408.18 29 24.69 31 31 49 40.79 0.961511853612732 0.967189510539408 1.41367370359911 1.3813959264014 1.6022670227286 1.40548183686541 8 4.45 9 4.36 11 5.49
"40" 39 8640 4244.19 29 24.2 30 30 47 39.44 0.960782708917336 0.967402434194085 1.4170625597025 1.38014732695949 1.60217465581114 1.3956886172797 8 4.28 9 4.22 11 5.27
"41" 40 8529 4097.16 29 23.62 29 29 46 37.95 0.959887828828341 0.969393513532713 1.42249038759873 1.37656599945251 1.509695793537 1.37918724870964 8 4.17 8 4.05 10 5
"42" 41 8410 3954.19 28 23.13 28 28 45 36.52 0.95858156120599 0.970624555151994 1.42846855122825 1.36987933560249 1.51690789810667 1.36906671786745 8 4 8 3.92 10 4.78
"43" 42 8280 3790 28 22.66 27 27 43 35.27 0.954867559907662 0.97138490352033 1.4319666832145 1.36503991624739 1.48415118349179 1.3605042532555 8 3.86 8 3.74 10 4.6
"44" 43 8136 3642.26 28 22.14 26 26 42 34.03 0.955711111650174 0.970801730489244 1.439612111236 1.37531250787336 1.40460184372026 1.35361351498592 8 3.73 8 3.57 10 4.46
"45" 44 7988 3506.57 28 21.56 25 25 41 32.79 0.949881716165369 0.971215994531427 1.44775715285629 1.38060806885623 1.3454678621077 1.34752758379203 8 3.64 8 3.42 9 4.3
"46" 45 7835 3383.07 27 21.08 24 24 40 31.52 0.947238168750465 0.971610124369318 1.45650084709841 1.37863820714609 1.35221407562429 1.33515055459163 7 3.49 7 3.31 9 4.13
"47" 46 7682 3238.74 27 20.45 23 23 38 30.15 0.952578132696509 0.975047653888829 1.44840988598423 1.36756897965237 1.27638599650972 1.32049947525905 7 3.34 7 3.18 9 3.91
"48" 47 7520 3117.9 26 19.89 22 22 37 28.89 0.950745789580672 0.975222048888986 1.45806977980464 1.36947496600665 1.28234005654091 1.3075019938717 7 3.2 7 3.07 8 3.75
"49" 48 7355 2970.18 25 19.31 21 21 36 27.53 0.946778679735324 0.978240691382143 1.46834598832507 1.36688840156459 1.28867399390722 1.28839719617676 7 3.11 7 2.88 8 3.61
"50" 49 7158 2844.15 23 18.63 20 20 29 26.2 0.962915792669558 0.978196046492559 1.38674300783364 1.36811473207945 1.21698415112702 1.27800167410261 7 2.98 6 2.76 8 3.48
"51" 50 6934 2706.37 22 18.03 19 19 28 25.02 0.960350424548908 0.978025158585279 1.3992365806278 1.38066225508725 1.2239937343189 1.26066322519022 6 2.84 6 2.61 7 3.3
